Element,ElementName,domain,dataset,,measuredElementCode,Source link,
4100,Total area of the country,Land ,land_use_dissemination,,5115,,
4101,Arable land area,Land ,land_use_dissemination,,5710,,
4102,Permanent crops area,Land ,land_use_dissemination,,5011,,
4103,Cultivated area (arable land + permanent crops),Land ,land_use_dissemination,,5522,,
4104,Total population,Population,population_unpd,,511,,
4105,Rural population,Population,population_unpd,,551,,
4106,Urban population,Population,population_unpd,,561,,
4107,Population density,Population,population_unpd,,4107,,
4108,Population economically active in agriculture,,,FAOSTAT (Employment),4108,ILO,http://www.ilo.org/ilostat/faces/oracle/webcenter/portalapp/pagehierarchy/Page27.jspx?subject=EMP&indicator=EMP_TEMP_SEX_AGE_GEO_NB&datasetCode=A&collectionCode=YI&_afrLoop=10396293062935&_afrWindowMode=0&_afrWindowId=toifke1zk_42#!%40%40%3Findicator%3DEMP_TEMP_SEX_AGE_GEO_NB%26_afrWindowId%3Dtoifke1zk_42%26subject%3DEMP%26_afrLoop%3D10396293062935%26datasetCode%3DA%26collectionCode%3DYI%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dtoifke1zk_107
4109,Male population economically active in agriculture,,,FAOSTAT (Employment),4109,ILO,http://www.ilo.org/ilostat/faces/oracle/webcenter/portalapp/pagehierarchy/Page27.jspx?subject=EMP&indicator=EMP_TEMP_SEX_AGE_GEO_NB&datasetCode=A&collectionCode=YI&_afrLoop=10396293062935&_afrWindowMode=0&_afrWindowId=toifke1zk_42#!%40%40%3Findicator%3DEMP_TEMP_SEX_AGE_GEO_NB%26_afrWindowId%3Dtoifke1zk_42%26subject%3DEMP%26_afrLoop%3D10396293062935%26datasetCode%3DA%26collectionCode%3DYI%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dtoifke1zk_107
4110,Female population economically active in agriculture,,,FAOSTAT (Employment),4110,ILO,http://www.ilo.org/ilostat/faces/oracle/webcenter/portalapp/pagehierarchy/Page27.jspx?subject=EMP&indicator=EMP_TEMP_SEX_AGE_GEO_NB&datasetCode=A&collectionCode=YI&_afrLoop=10396293062935&_afrWindowMode=0&_afrWindowId=toifke1zk_42#!%40%40%3Findicator%3DEMP_TEMP_SEX_AGE_GEO_NB%26_afrWindowId%3Dtoifke1zk_42%26subject%3DEMP%26_afrLoop%3D10396293062935%26datasetCode%3DA%26collectionCode%3DYI%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dtoifke1zk_107
4112,Gross Domestic Product (GDP),faostat_datasets,faostat_macro_ind,,22008,,
4150,Long-term average annual precipitation in volume,Aquastat,aquastat,,4150,,
4154,Groundwater produced internally,Aquastat,aquastat,,4154,,
4155,Surface water produced internally,Aquastat,aquastat,,4155,,
