"geographicAreaM49","aquastatElement","ts_length","count_NA_raw","count_NA_imp","num_imp_values","share_NA_imp","description"
"Afghanistan",4103,30,18,0,18,60,"Cultivated area (arable land + permanent crops)"
"Afghanistan",4105,30,18,0,18,60,"Rural population"
"Afghanistan",4107,30,19,0,19,63.3333333333333,"Population density"
"Afghanistan",4108,30,22,0,22,73.3333333333333,"Population economically active in agriculture"
"Afghanistan",4150,30,18,0,18,60,"Long-term average annual precipitation in volume"
"Afghanistan",4157,30,18,0,18,60,"Total internal renewable water resources (IRWR)"
"Afghanistan",4158,30,19,0,19,63.3333333333333,"Total internal renewable water resources per capita"
"Afghanistan",4164,30,18,0,18,60,"Surface water: accounted inflow"
"Afghanistan",4176,30,18,0,18,60,"Surface water: total external renewable"
"Afghanistan",4182,30,18,0,18,60,"Water resources: total external renewable"
"Afghanistan",4185,30,18,0,18,60,"Total renewable surface water"
"Afghanistan",4187,30,18,0,18,60,"Total renewable groundwater"
"Afghanistan",4188,30,18,0,18,60,"Total renewable water resources"
"Afghanistan",4190,30,19,0,19,63.3333333333333,"Total renewable water resources per capita"
"Afghanistan",4192,30,18,0,18,60,"Dependency ratio"
"Afghanistan",4196,30,30,0,30,100,"Total exploitable water resources"
"Afghanistan",4253,30,29,0,29,96.6666666666667,"Total water withdrawal"
"Afghanistan",4254,30,29,0,29,96.6666666666667,"Agricultural water withdrawal as % of total water withdrawal"
"Afghanistan",4255,30,28,0,28,93.3333333333333,"Municipal water withdrawal as % of total withdrawal"
"Afghanistan",4256,30,28,0,28,93.3333333333333,"Industrial water withdrawal as % of total water withdrawal"
"Afghanistan",4257,30,29,0,29,96.6666666666667,"Total water withdrawal per capita"
"Afghanistan",4263,30,30,0,30,100,"Total freshwater withdrawal (primary and secondary)"
"Afghanistan",4271,30,30,0,30,100,"Agricultural water requirement as % of agricultural water withdrawal"
"Afghanistan",4273,30,29,0,29,96.6666666666667,"Agricultural water withdrawal as % of total renewable water resources"
"Afghanistan",4275,30,29,0,29,96.6666666666667,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Afghanistan",4300,30,30,0,30,100,"Total cultivated area drained"
"Afghanistan",4305,30,30,0,30,100,"% of total cultivated area drained"
"Afghanistan",4311,30,30,0,30,100,"Area equipped for full control irrigation: total"
"Afghanistan",4313,30,30,0,30,100,"Area equipped for irrigation: total"
"Afghanistan",4317,30,30,0,30,100,"Total agricultural water managed area"
"Afghanistan",4319,30,27,0,27,90,"% of agricultural water managed area equipped for irrigation"
"Afghanistan",4323,30,28,0,28,93.3333333333333,"% of area equipped for irrigation by groundwater"
"Afghanistan",4324,30,28,0,28,93.3333333333333,"% of area equipped for irrigation by surface water"
"Afghanistan",4325,30,30,0,30,100,"% of area equipped for irrigation by mixed surface water and groundwater"
"Afghanistan",4327,30,30,0,30,100,"% of area equipped for irrigation power irrigated"
"Afghanistan",4328,30,29,0,29,96.6666666666667,"% of the area equipped for irrigation actually irrigated"
"Afghanistan",4330,30,30,0,30,100,"% of irrigation potential equipped for irrigation"
"Afghanistan",4331,30,28,0,28,93.3333333333333,"% of the cultivated area equipped for irrigation"
"Afghanistan",4445,30,30,0,30,100,"% of area equipped for irrigation salinized"
"Afghanistan",4446,30,30,0,30,100,"% of area equipped for irrigation drained"
"Afghanistan",4448,30,30,0,30,100,"Other agricultural water managed area"
"Afghanistan",4450,30,29,0,29,96.6666666666667,"Freshwater withdrawal as % of internal renewable water resources"
"Afghanistan",4455,30,30,0,30,100,"Conservation agriculture area as % of arable land area"
"Afghanistan",4457,30,29,0,29,96.6666666666667,"Municipal water withdrawal per capita (total population)"
"Afghanistan",4458,30,22,0,22,73.3333333333333,"GDP per Capita"
"Afghanistan",4459,30,30,0,30,100,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Afghanistan",4462,30,30,0,30,100,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Afghanistan",4463,30,29,0,29,96.6666666666667,"% of area equipped for full control irrigation actually irrigated"
"Afghanistan",4464,30,30,0,30,100,"Irrigated cropping intensity"
"Afghanistan",4466,30,30,0,30,100,"% of area equipped by direct use of treated municipal wastewater"
"Afghanistan",4467,30,27,0,27,90,"Freshwater withdrawal as % of total water withdrawal"
"Afghanistan",4468,30,29,0,29,96.6666666666667,"Municipal water withdrawal per capita (urban population)"
"Afghanistan",4470,30,18,0,18,60,"% of total country area cultivated"
"Afghanistan",4471,30,29,0,29,96.6666666666667,"Dam capacity per capita"
"Afghanistan",4509,30,30,0,30,100,"Exploitable: total renewable surface water"
"Afghanistan",4514,30,30,0,30,100,"% of area equipped for irrigation by direct use of non-treated municipal wastewater"
"Afghanistan",4531,30,29,0,29,96.6666666666667,"Industrial water withdrawal per capita"
"Afghanistan",4532,30,29,0,29,96.6666666666667,"Agricultural water withdrawal per capita"
