"aquastatElement","ts_length","count_NA_raw","count_NA_imp","share_NA_raw","share_NA_imp","num_imp_values","description"
4103,1076,594,0,55.2044609665427,0,482,"Cultivated area (arable land + permanent crops)"
4105,1076,596,0,55.3903345724907,0,480,"Rural population"
4107,1076,638,12,59.2936802973978,1.11524163568773,438,"Population density"
4108,1076,748,0,69.5167286245353,0,328,"Population economically active in agriculture"
4150,1076,620,0,57.6208178438662,0,456,"Long-term average annual precipitation in volume"
4157,1076,680,0,63.1970260223048,0,396,"Total internal renewable water resources (IRWR)"
4158,1076,671,12,62.360594795539,1.11524163568773,405,"Total internal renewable water resources per capita"
4164,1076,584,0,54.275092936803,0,492,"Surface water: accounted inflow"
4176,1076,584,0,54.275092936803,0,492,"Surface water: total external renewable"
4182,1076,584,0,54.275092936803,0,492,"Water resources: total external renewable"
4185,1076,680,0,63.1970260223048,0,396,"Total renewable surface water"
4187,1076,680,0,63.1970260223048,0,396,"Total renewable groundwater"
4188,1076,680,0,63.1970260223048,0,396,"Total renewable water resources"
4190,1076,671,12,62.360594795539,1.11524163568773,405,"Total renewable water resources per capita"
4192,1076,632,56,58.7360594795539,5.20446096654275,444,"Dependency ratio"
4196,1076,1032,0,95.910780669145,0,44,"Total exploitable water resources"
4253,1076,963,0,89.4981412639405,0,113,"Total water withdrawal"
4254,1076,954,116,88.6617100371747,10.7806691449814,122,"Agricultural water withdrawal as % of total water withdrawal"
4255,1076,955,99,88.7546468401487,9.20074349442379,121,"Municipal water withdrawal as % of total withdrawal"
4256,1076,955,99,88.7546468401487,9.20074349442379,121,"Industrial water withdrawal as % of total water withdrawal"
4257,1076,1030,12,95.724907063197,1.11524163568773,46,"Total water withdrawal per capita"
4263,1076,1076,0,100,0,0,"Total freshwater withdrawal (primary and secondary)"
4271,1076,1059,207,98.4200743494424,19.2379182156134,17,"Agricultural water requirement as % of agricultural water withdrawal"
4273,1076,1035,56,96.1895910780669,5.20446096654275,41,"Agricultural water withdrawal as % of total renewable water resources"
4275,1076,1034,56,96.0966542750929,5.20446096654275,42,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
4300,1076,1063,0,98.7918215613383,0,13,"Total cultivated area drained"
4305,1076,1071,16,99.5353159851301,1.48698884758364,5,"% of total cultivated area drained"
4311,1076,1055,0,98.0483271375465,0,21,"Area equipped for full control irrigation: total"
4313,1076,1075,0,99.907063197026,0,1,"Area equipped for irrigation: total"
4317,1076,1074,0,99.8141263940521,0,2,"Total agricultural water managed area"
4319,1076,954,246,88.6617100371747,22.8624535315985,122,"% of agricultural water managed area equipped for irrigation"
4323,1076,1048,246,97.3977695167286,22.8624535315985,28,"% of area equipped for irrigation by groundwater"
4324,1076,1042,246,96.8401486988847,22.8624535315985,34,"% of area equipped for irrigation by surface water"
4325,1076,1071,246,99.5353159851301,22.8624535315985,5,"% of area equipped for irrigation by mixed surface water and groundwater"
4327,1076,1063,246,98.7918215613383,22.8624535315985,13,"% of area equipped for irrigation power irrigated"
4328,1076,1022,246,94.9814126394052,22.8624535315985,54,"% of the area equipped for irrigation actually irrigated"
4330,1076,1057,151,98.2342007434944,14.0334572490706,19,"% of irrigation potential equipped for irrigation"
4331,1076,1044,12,97.0260223048327,1.11524163568773,32,"% of the cultivated area equipped for irrigation"
4445,1076,1072,246,99.6282527881041,22.8624535315985,4,"% of area equipped for irrigation salinized"
4446,1076,1068,246,99.2565055762082,22.8624535315985,8,"% of area equipped for irrigation drained"
4448,1076,1074,0,99.8141263940521,0,2,"Other agricultural water managed area"
4450,1076,1034,56,96.0966542750929,5.20446096654275,42,"Freshwater withdrawal as % of internal renewable water resources"
4455,1076,1061,16,98.6059479553903,1.48698884758364,15,"Conservation agriculture area as % of arable land area"
4457,1076,1031,12,95.817843866171,1.11524163568773,45,"Municipal water withdrawal per capita (total population)"
4458,1076,672,12,62.453531598513,1.11524163568773,404,"GDP per Capita"
4459,1076,1049,0,97.4907063197026,0,27,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
4462,1076,1050,404,97.5836431226766,37.546468401487,26,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
4463,1076,1021,263,94.8884758364312,24.4423791821561,55,"% of area equipped for full control irrigation actually irrigated"
4464,1076,1050,404,97.5836431226766,37.546468401487,26,"Irrigated cropping intensity"
4466,1076,1072,246,99.6282527881041,22.8624535315985,4,"% of area equipped by direct use of treated municipal wastewater"
4467,1076,921,116,85.5947955390335,10.7806691449814,155,"Freshwater withdrawal as % of total water withdrawal"
4468,1076,1031,12,95.817843866171,1.11524163568773,45,"Municipal water withdrawal per capita (urban population)"
4470,1076,596,12,55.3903345724907,1.11524163568773,480,"% of total country area cultivated"
4471,1076,1052,12,97.7695167286245,1.11524163568773,24,"Dam capacity per capita"
4509,1076,1032,0,95.910780669145,0,44,"Exploitable: total renewable surface water"
4514,1076,1075,246,99.907063197026,22.8624535315985,1,"% of area equipped for irrigation by direct use of non-treated municipal wastewater"
4531,1076,1034,12,96.0966542750929,1.11524163568773,42,"Industrial water withdrawal per capita"
4532,1076,1031,12,95.817843866171,1.11524163568773,45,"Agricultural water withdrawal per capita"
4533,1076,1063,0,98.7918215613383,0,13,"Area equipped by direct use of treated municipal wastewater"
4534,1076,1071,0,99.5353159851301,0,5,"Area equipped by direct use of not treated municipal wastewater"
4535,1076,1039,0,96.5613382899628,0,37,"Direct use of treated municipal wastewater"
4536,1076,680,0,63.1970260223048,0,396,"Overlap: between surface water and groundwater"
4538,1076,748,12,69.5167286245353,1.11524163568773,328,"% of economically active population active in agriculture"
