"geographicAreaM49","aquastatElement","ts_length","count_NA_raw","count_NA_imp","num_imp_values","share_NA_imp","definitions"
"Afghanistan",4103,38,26,0,26,68.4210526315789,"Cultivated area (arable land + permanent crops)"
"Afghanistan",4105,38,26,0,26,68.4210526315789,"Rural population"
"Afghanistan",4107,38,27,0,27,71.0526315789474,"Population density"
"Afghanistan",4108,38,30,0,30,78.9473684210526,"Population economically active in agriculture"
"Afghanistan",4150,38,26,0,26,68.4210526315789,"Long-term average annual precipitation in volume"
"Afghanistan",4157,38,26,0,26,68.4210526315789,"Total internal renewable water resources (IRWR)"
"Afghanistan",4158,38,27,0,27,71.0526315789474,"Total internal renewable water resources per capita"
"Afghanistan",4164,38,26,0,26,68.4210526315789,"Surface water: accounted inflow"
"Afghanistan",4176,38,26,0,26,68.4210526315789,"Surface water: total external renewable"
"Afghanistan",4182,38,26,0,26,68.4210526315789,"Water resources: total external renewable"
"Afghanistan",4185,38,26,0,26,68.4210526315789,"Total renewable surface water"
"Afghanistan",4187,38,26,0,26,68.4210526315789,"Total renewable groundwater"
"Afghanistan",4188,38,26,0,26,68.4210526315789,"Total renewable water resources"
"Afghanistan",4190,38,27,0,27,71.0526315789474,"Total renewable water resources per capita"
"Afghanistan",4192,38,26,0,26,68.4210526315789,"Dependency ratio"
"Afghanistan",4196,38,38,0,38,100,"Total exploitable water resources"
"Afghanistan",4253,38,37,0,37,97.3684210526316,"Total water withdrawal"
"Afghanistan",4254,38,37,0,37,97.3684210526316,"Agricultural water withdrawal as % of total water withdrawal"
"Afghanistan",4255,38,36,0,36,94.7368421052632,"Municipal water withdrawal as % of total withdrawal"
"Afghanistan",4256,38,36,0,36,94.7368421052632,"Industrial water withdrawal as % of total water withdrawal"
"Afghanistan",4257,38,37,0,37,97.3684210526316,"Total water withdrawal per capita"
"Afghanistan",4263,38,38,0,38,100,"Total freshwater withdrawal (primary and secondary)"
"Afghanistan",4271,38,38,0,38,100,"Agricultural water requirement as % of agricultural water withdrawal"
"Afghanistan",4273,38,37,0,37,97.3684210526316,"Agricultural water withdrawal as % of total renewable water resources"
"Afghanistan",4275,38,37,0,37,97.3684210526316,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Afghanistan",4300,38,38,0,38,100,"Total cultivated area drained"
"Afghanistan",4305,38,38,0,38,100,"% of total cultivated area drained"
"Afghanistan",4311,38,38,0,38,100,"Area equipped for full control irrigation: total"
"Afghanistan",4313,38,38,0,38,100,"Area equipped for irrigation: total"
"Afghanistan",4317,38,38,0,38,100,"Total agricultural water managed area"
"Afghanistan",4319,38,35,0,35,92.1052631578947,"% of agricultural water managed area equipped for irrigation"
"Afghanistan",4323,38,36,0,36,94.7368421052632,"% of area equipped for irrigation by groundwater"
"Afghanistan",4324,38,36,0,36,94.7368421052632,"% of area equipped for irrigation by surface water"
"Afghanistan",4325,38,38,0,38,100,"% of area equipped for irrigation by mixed surface water and groundwater"
"Afghanistan",4327,38,38,0,38,100,"% of area equipped for irrigation power irrigated"
"Afghanistan",4328,38,37,0,37,97.3684210526316,"% of the area equipped for irrigation actually irrigated"
"Afghanistan",4330,38,38,0,38,100,"% of irrigation potential equipped for irrigation"
"Afghanistan",4331,38,36,0,36,94.7368421052632,"% of the cultivated area equipped for irrigation"
"Afghanistan",4445,38,38,0,38,100,"% of area equipped for irrigation salinized"
"Afghanistan",4446,38,38,0,38,100,"% of area equipped for irrigation drained"
"Afghanistan",4448,38,38,0,38,100,"Other agricultural water managed area"
"Afghanistan",4450,38,37,0,37,97.3684210526316,"Freshwater withdrawal as % of internal renewable water resources"
"Afghanistan",4455,38,38,0,38,100,"Conservation agriculture area as % of arable land area"
"Afghanistan",4457,38,37,0,37,97.3684210526316,"Municipal water withdrawal per capita (total population)"
"Afghanistan",4458,38,30,0,30,78.9473684210526,"GDP per Capita"
"Afghanistan",4459,38,38,0,38,100,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Afghanistan",4462,38,38,0,38,100,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Afghanistan",4463,38,37,0,37,97.3684210526316,"% of area equipped for full control irrigation actually irrigated"
"Afghanistan",4464,38,38,0,38,100,"Irrigated cropping intensity"
"Afghanistan",4466,38,38,0,38,100,"% of area equipped by direct use of treated municipal wastewater"
"Afghanistan",4467,38,35,0,35,92.1052631578947,"Freshwater withdrawal as % of total water withdrawal"
"Afghanistan",4468,38,37,0,37,97.3684210526316,"Municipal water withdrawal per capita (urban population)"
"Afghanistan",4470,38,26,0,26,68.4210526315789,"% of total country area cultivated"
"Afghanistan",4471,38,37,0,37,97.3684210526316,"Dam capacity per capita"
"Afghanistan",4509,38,38,0,38,100,"Exploitable: total renewable surface water"
