"geographicAreaM49","ts_length","count_NA_raw","count_NA_imp","share_NA_raw","share_NA_imp","num_imp_values"
"Afghanistan",2508,2277,0,90.7894736842105,0,231
"Aland Islands",792,756,516,95.4545454545455,65.1515151515152,36
"Albania",2178,1945,0,89.3021120293848,0,233
"Algeria",2508,2220,0,88.5167464114833,0,288
"Antigua and Barbuda",1716,1524,0,88.8111888111888,0,192
"Argentina",2640,2403,0,91.0227272727273,0,237
"Armenia",2046,1853,0,90.5669599217986,0,193
"Australia",2640,2379,0,90.1136363636364,0,261
"Belarus",1650,1499,0,90.8484848484848,0,151
"Bhutan",1716,1491,104,86.8881118881119,6.06060606060606,225
"Bolivia (Plurinational State of)",2640,2403,80,91.0227272727273,3.03030303030303,237
"Bosnia and Herzegovina",1716,1595,157,92.948717948718,9.14918414918415,121
"Brazil",2310,2056,0,89.004329004329,0,254
"Cameroon",2178,1921,66,88.2001836547291,3.03030303030303,257
"Canada",2442,2198,518,90.00819000819,21.2121212121212,244
"Central African Republic",1848,1604,364,86.7965367965368,19.6969696969697,244
"Chad",1782,1528,0,85.7463524130191,0,254
"Chile",2970,2737,675,92.1548821548822,22.7272727272727,233
"China",2376,2051,0,86.3215488215488,0,325
"Colombia",2904,2676,0,92.1487603305785,0,228
"Djibouti",1848,1628,28,88.0952380952381,1.51515151515152,220
"Dominica",1452,1300,352,89.5316804407714,24.2424242424242,152
"Dominican Republic",2640,2408,0,91.2121212121212,0,232
"Faroe Islands",924,823,364,89.0692640692641,39.3939393939394,101
"Fiji",2046,1805,62,88.2209188660802,3.03030303030303,241
"Finland",2112,1868,64,88.4469696969697,3.03030303030303,244
"France",2772,2445,0,88.2034632034632,0,327
"Gabon",2112,1868,416,88.4469696969697,19.6969696969697,244
"Israel",2772,2487,0,89.7186147186147,0,285
"Italy",2508,2237,0,89.1945773524721,0,271
"Japan",2640,2345,0,88.8257575757576,0,295
"Jordan",2376,2042,0,85.9427609427609,0,334
"Malaysia",2574,2331,78,90.5594405594406,3.03030303030303,243
"Maldives",1452,1232,352,84.8484848484848,24.2424242424242,220
"Mauritania",2376,2143,0,90.1936026936027,0,233
"Niger",2508,2270,0,90.5103668261563,0,238
"Nigeria",2442,2189,0,89.6396396396396,0,253
"Niue",858,759,351,88.4615384615385,40.9090909090909,99
"Romania",2442,2122,0,86.8959868959869,0,320
"Russian Federation",1980,1851,0,93.4848484848485,0,129
"Saint Lucia",1518,1357,460,89.3939393939394,30.3030303030303,161
"Samoa",1254,1146,475,91.3875598086124,37.8787878787879,108
"Sao Tome and Principe",1782,1644,513,92.2558922558923,28.7878787878788,138
