"geographicAreaM49","aquastatElement","ts_length","count_raw","ts_expansion","count_imp","true_imp","share_NA_imp","definitions"
"Afghanistan",4103,53,12,41,53,41,77.3584905660377,"Cultivated area (arable land + permanent crops)"
"Afghanistan",4105,54,12,42,54,42,77.7777777777778,"Rural population"
"Afghanistan",4107,54,12,42,54,42,77.7777777777778,"Population density"
"Afghanistan",4108,33,8,25,33,25,75.7575757575758,"Population economically active in agriculture"
"Afghanistan",4150,53,12,41,53,41,77.3584905660377,"Long-term average annual precipitation in volume"
"Afghanistan",4157,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources (IRWR)"
"Afghanistan",4158,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources per capita"
"Afghanistan",4164,53,12,41,53,41,77.3584905660377,"Surface water: accounted inflow"
"Afghanistan",4176,53,12,41,53,41,77.3584905660377,"Surface water: total external renewable"
"Afghanistan",4182,53,12,41,53,41,77.3584905660377,"Water resources: total external renewable"
"Afghanistan",4185,53,12,41,53,41,77.3584905660377,"Total renewable surface water"
"Afghanistan",4187,53,12,41,53,41,77.3584905660377,"Total renewable groundwater"
"Afghanistan",4188,53,12,41,53,41,77.3584905660377,"Total renewable water resources"
"Afghanistan",4190,53,12,41,53,41,77.3584905660377,"Total renewable water resources per capita"
"Afghanistan",4192,53,12,41,53,41,77.3584905660377,"Dependency ratio"
"Afghanistan",4253,26,3,23,26,23,88.4615384615385,"Total water withdrawal"
"Afghanistan",4254,14,2,12,14,12,85.7142857142857,"Agricultural water withdrawal as % of total water withdrawal"
"Afghanistan",4255,14,2,12,14,12,85.7142857142857,"Municipal water withdrawal as % of total withdrawal"
"Afghanistan",4256,14,2,12,14,12,85.7142857142857,"Industrial water withdrawal as % of total water withdrawal"
"Afghanistan",4257,26,3,23,26,23,88.4615384615385,"Total water withdrawal per capita"
"Afghanistan",4263,26,3,23,26,23,88.4615384615385,"Total freshwater withdrawal (primary and secondary)"
"Afghanistan",4273,12,2,10,12,10,83.3333333333333,"Agricultural water withdrawal as % of total renewable water resources"
"Afghanistan",4275,26,3,23,26,23,88.4615384615385,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Afghanistan",4311,36,3,33,36,33,91.6666666666667,"Area equipped for full control irrigation: total"
"Afghanistan",4313,36,3,33,36,33,91.6666666666667,"Area equipped for irrigation: total"
"Afghanistan",4317,36,3,33,36,33,91.6666666666667,"Total agricultural water managed area"
"Afghanistan",4319,36,3,33,36,33,91.6666666666667,"% of agricultural water managed area equipped for irrigation"
"Afghanistan",4323,36,2,34,36,34,94.4444444444444,"% of area equipped for irrigation by groundwater"
"Afghanistan",4324,36,2,34,36,34,94.4444444444444,"% of area equipped for irrigation by surface water"
"Afghanistan",4325,1,1,0,1,0,0,"% of area equipped for irrigation by mixed surface water and groundwater"
"Afghanistan",4328,1,1,0,1,0,0,"% of the area equipped for irrigation actually irrigated"
"Afghanistan",4331,36,3,33,36,33,91.6666666666667,"% of the cultivated area equipped for irrigation"
"Afghanistan",4450,26,3,23,26,23,88.4615384615385,"Freshwater withdrawal as % of internal renewable water resources"
"Afghanistan",4457,19,3,16,19,16,84.2105263157895,"Municipal water withdrawal per capita (total population)"
"Afghanistan",4458,54,9,45,54,45,83.3333333333333,"GDP per Capita"
"Afghanistan",4459,1,1,0,1,0,0,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
