calculation_rule,indicator_name,component_name
[4100]=[4559]+[4560],[Total area of the country (excl. coastal water)],[Land area]+[InlandWater]
[4107]=[4104]/([4100]/100),[Population density],[Total population]/([Total area of the country]/100
[4108]=[4109]+[4110],[Population economically active in agriculture],[Male population economically active in agriculture]+[Female population economically active in agriculture]
[4150]=[4100] * [4151] / 100000,[Long-term average annual precipitation in volume],[Total area of the country]*[Long-term average annual precipitation in depth]/100000
[4157]=[4154]+[4155]-[4156],[Total internal renewable water resources (IRWR)],[Groundwater produced internally]+[Surface water produced internally]-[Overlap between surface water and groundwater]
[4158]=[4157]*1000000/[4104],[Total internal renewable water resources per capita],[Total internal renewable water resources (IRWR)]*1000000/[Total population]
[4164]=[4160]+[4162]+[4168],[Surface water: accounted inflow],[Surface water: inflow not submitted to treaties]+[Surface water: inflow secured through treaties]+[Surface water: accounted flow of border rivers]
[4176]=[4160]+[4162]+[4168]-[4174],[Surface water: total external renewable],[Surface water: inflow not submitted to treaties]+[Surface water: inflow secured through treaties]+[Surface water: accounted flow of border rivers]-[Surface water: outflow to other countries secured through treaties]
[4182]=[4176]+[4452],[Water resources: total external renewable],[Surface water: total external renewable]+[Groundwater: accounted inflow]
[4185]=[4176]+[4155],[Total renewable surface water],[Surface water: total external renewable]+[Surface water produced internally]
[4187]=[4154]+[4452],[Total renewable groundwater],[Groundwater produced internally]+[Groundwater: accounted inflow]
[4188]=[4185]+[4187]-[4156],[Total renewable water resources],[Total renewable surface water]+[Total renewable groundwater]-[Overlap between surface water and groundwater]
[4190]=[4188]*1000000/[4104],[Total renewable water resources per capita],[Total renewable water resources]*1000000/[Total population]
[4192]=100*([4164]+[4452])/([4164]+[4452]+[4157]),[Dependency ratio] ,100*([Surface water: accounted inflow]+[Groundwater: accounted inflow])/([Surface water: accounted inflow]+[Groundwater: accounted inflow]+[Total internal renewable water resources (IRWR)]
[4509]=[4193]+[4194],[Exploitable: total renewable surface water] ,[Exploitable: regular renewable surface water]+[Exploitable: irregular renewable surface water]
[4196]=[4509]+[4195],[Total exploitable water resources],[Exploitable: total renewable surface water]+[Exploitable: regular renewable groundwater]
[4253]=[4251]+[4252]+[4250],[Total water withdrawal] ,[Municipal water withdrawal]+[Industrial water withdrawal]+[Agricultural water withdrawal]
[4254]=[4250]/[4253]*100,[Agricultural water withdrawal as % of total water withdrawal],[Agricultural water withdrawal]/[Total water withdrawal]*100
[4255]=[4251]/[4253]*100,[Municipal water withdrawal as % of total water withdrawal],[Municipal water withdrawal]/[Total water withdrawal]*100
[4256]=[4252]/[4253]*100,[Industrial water withdrawal as % of total water withdrawal],"[Industrial water withdrawal]/[Total water withdrawal]*100
"
[4257]=[4253]*1000000/[4104],[Total water withdrawal per capita] ,[Total water withdrawal]*1000000/[Total population]
[4263]=[4261]+[4262],[Total freshwater withdrawal],[Total water withdrawal]-[Desalinated water produced]-[Direct use of treated municipal wastewater]-[Direct use of agricultural drainage water]
[4263]=[4253]-[4264]-[4265]-[4451],[Total freshwater withdrawal],[Total water withdrawal]-[Desalinated water produced]-[Direct use of treated municipal wastewater]-[Direct use of agricultural drainage water]
[4271]=100*[4260]/[4250],[Agricultural water requirement as % of agricultural water withdrawal],"100*[Irrigation water requirement]/[Agricultural water withdrawal]
"
[4273]=100*[4250]/[4188],[Agricultural water withdrawal as % of total renewable water resources] ,100*[Agricultural water withdrawal]/[Total renewable water resources]
[4275]=100*[4263]/[4188],[MDG 7.5. Freshwater withdrawal as % of total renewable water resources] ,100*[Total freshwater withdrawal (primary and secondary)]/[Total renewable water resources]
[4300]=[4303]+[4304],[Total cultivated area drained],[Area equipped for irrigation drained]+[Non-irrigated cultivated area drained]
[4305]=100*[4300]/[4103],[% of total cultivated area drained] ,100*[Total cultivated area drained]/[Cultivated area (arable land + permanent crops)]
[4311]=[4308]+[4309]+[4310],[Area equipped for full control irrigation: total],"[Area equipped for full control irrigation: surface irrigation]+[Area equipped for full control irrigation: sprinkler irrigation]+[Area equipped for full control irrigation: localized irrigation]
"
[4313]= [4311]+[4312]+[4316],[Area equipped for irrigation: total] ,[Area equipped for full control irrigation: total]+[Area equipped for irrigation: equipped lowland areas]+[Area equipped for irrigation: spate irrigation]
[4550]=100*[4263]/([4188]),[SDG 6.4.2. Water Stress],100*[Total freshwater withdrawal (primary and secondary)]/([Total renewable water resources]
[4317]= [4313]+[4314]+[4315],[Total agricultural water managed area],[Area equipped for irrigation: total]+[Flood recession cropping area non-equipped]+[Cultivated wetlands and inland valley bottoms non-equipped]
[4319]=100*[4313]/[4317],[% of agricultural water managed area equipped for irrigation],100*[Area equipped for irrigation: total]/[Total agricultural water managed area]
[4323]=100*[4320]/[4313],[% of area equipped for irrigation by groundwater ] ,100*[Area equipped for irrigation by groundwater]/[Area equipped for irrigation: total]
[4324]=100*[4321]/[4313],[% of area equipped for irrigation by surface water] ,100*[Area equipped for irrigation by surface water]/[Area equipped for irrigation: total]
[4325]=100*[4322]/[4313],[% of area equipped for irrigation by mixed surface water and groundwater] ,100*[Area equipped for irrigation by mixed surface water and groundwater]/[Area equipped for irrigation: total]
[4327]=100*[4326]/[4313],[% of area equipped for irrigation power irrigated],100*[Area equipped for power irrigation (surface water or groundwater)]/[Area equipped for irrigation: total]
[4328]=100*[4318]/[4313],[% of the area equipped for irrigation actually irrigated] ,100*[Area equipped for irrigation: actually irrigated]/[Area equipped for irrigation: total]
[4330]=100*[4313]/[4307],[% of irrigation potential equipped for irrigation] ,100*[Area equipped for irrigation: total]/[Irrigation potential]
[4331]=100*[4313]/[4103],[% of the cultivated area equipped for irrigation] ,100*[Area equipped for irrigation: total]/[Cultivated area (arable land + permanent crops)]
[4445]=100*[4400]/[4313],[% of area equipped for irrigation salinized],"100*[Area salinized by irrigation]/[Area equipped for irrigation: total]
"
[4446]=100*[4303]/[4313],[% of area equipped for irrigation drained],100*[Area equipped for irrigation drained]/[Area equipped for irrigation: total]
[4448]=[4314]+[4315],[Other agricultural water managed area] ,[Flood recession cropping area non-equipped]+[Cultivated wetlands and inland valley bottoms non-equipped]
[4450]=100*[4263]/[4157],[Freshwater withdrawal as % of internal renewable water resources] ,100*[Total freshwater withdrawal (primary and secondary)]/[Total internal renewable water resources (IRWR)]
[4455]=100*[4454]/[4101],[Conservation agriculture area as % of arable land area],"100*[Conservation agriculture area]/[Arable land area]
"
[4457]=[4251]*1000000/[4104],[Municipal water withdrawal per capita (total population)],[Municipal water withdrawal]*1000000/[Total population]
[4459]=[4309]+[4310],[Area equipped for full control irrigation: pressurized (sprinkler + localized)],[Area equipped for full control irrigation: sprinkler irrigation]+[Area equipped for full control irrigation: localized irrigation]
[4462]=100*[4379]/[4461],[Harvested irrigated crop area as % of the full control irrigation area actually irrigated],100*[Total harvested irrigated crop area (full control irrigation)]/[Area equipped for full control irrigation: actually irrigated]
[4463]=100*[4461]/[4311],[% of area equipped for full control irrigation actually irrigated],100*[Area equipped for full control irrigation: actually irrigated]/[Area equipped for full control irrigation: total]
[4464]=100*[4379]/[4461],[Irrigated cropping intensity],100*[Total harvested irrigated crop area (full control irrigation)]/[Area equipped for full control irrigation: actually irrigated]
[4466]=100*[4465]/[4313],[% of area equipped by direct use of treated municipal wastewater],100*[Area equipped by direct use of treated municipal wastewater]/[Area equipped for irrigation: total]
[4467]=100*[4263]/[4253],[Freshwater withdrawal as % of total water withdrawal,100*[Total freshwater withdrawal (primary and secondary)]/[Total water withdrawal]
[4468]=[4251]*1000000/[4106],[Municipal water withdrawal per capita (urban population)],[Municipal water withdrawal]*1000000/[Urban population]
[4470]=100*[4103]/[4100],[% of total country area cultivated],100*[Cultivated area (arable land + permanent crops)]/[Total area of the country]
[4471]=1000000*[4197]/[4104],[Dam capacity per capita],1000000*[Total dam capacity]/[Total population]
[4514]=100*[4513]/[4313],[% of area equipped for irrigation by direct use of non-treated municipal wastewater],100*[Area equipped for irrigation by direct use of non-treated municipal wastewater]/[Area equipped for irrigation: total]
[4527]=100*[4526]/[4313],[% of area equipped for irrigation by direct use of agricultural drainage water],100*[Area equipped for irrigation by direct use of agricultural drainage water]/[Area equipped for irrigation: total]
[4531]= [4252]*1000000/[4104],[Industrial water withdrawal per capita],[Industrial water withdrawal]*1000000/[Total population]
[4532]=[4250]*1000000/[4104],[Agricultural water withdrawal per capita],[Agricultural water withdrawal]*1000000/[Total population]
[4538]=100*[4108]/[4449],[% of economically active population active in agriculture],100*[Population economically active in agriculture]/[Population economically active]
[4540]=100*[4539]/[4313],[% of area equipped for irrigation by desalinated water],100*[Area equipped for irrigation by desalinated water]/[Area equipped for irrigation: total]
[4550]=100*[4263]/([4188]-[4549]),[SDG 6.4.2. Water Stress],100*[Total freshwater withdrawal (primary and secondary)]/([Total renewable water resources]-[Environmental Flow Requirements]
[4556]=100*[4379]/[4103],[% of cultivated land irrigated],100*[Total harvested irrigated crop area (full control irrigation)]/[Arable land area]
[4556]=100*[4461]/[4103],[% of cultivated land irrigated],100*[Total harvested irrigated crop area (full control irrigation)]/[Arable land area]
[4555]=100*1/(1+((1-([4556]/100))/(([4556]/100)*[4557]))),[% of agricultural GVA produced by irrigated agriculture],1/(1+((1-([% of arable land irrigated]/100))/(([% of arable land irrigated]/100)*[4557])))
[4552]= ((([4548]/[4558]*100)*[4555]/100)/[4250])/1000000000,[SDG 6.4.1. Irrigated Agriculture Water Use Efficiency],"(([Agriculture, value added to GDP]*[% of agricultural GVA produced by irrigated agriculture]/100)/[Agricultural water withdrawal])/1000000000"
[4553]=(([4546]/[4558]*100)/[4252])/1000000000,[SDG 6.4.1. Industrial Water Use Efficiency],"([Industry, value added to GDP]/[Industrial water withdrawal])/1000000000"
[4554]= (([4547]/[4558]*100)/[4251])/1000000000,[SDG 6.4.1. Services Water Use Efficiency],"([Services, value added to GDP]/[Municipal water withdrawal])/1000000000"
[4551]=([4552]*[4254]/100)+([4553]*[4256]/100)+([4554]*[4255]/100),[SDG 6.4.1. Water Use Efficiency],([SDG 6.4.1. Irrigated Agriculture Water Use Efficiency]*[Agricultural water withdrawal as % of total water withdrawal]) + ([SDG 6.4.1. Industrial Water Use Efficiency]*[Industrial water withdrawal as % of total water withdrawal]) + ([SDG 6.4.1. Services Water Use Efficiency]*[Municipal water withdrawal as % of total withdrawal])
[4533]=[4465],,
[4534]=[4513],,
[4535]=[4265],,
[4536]=[4156],,
